doctor_id,doctor_name,department_id,joining_date
1,Dr.Jones,4,2022-03-01
2,Dr Smith ,2,01/03/2022
3,Dr Smith ,5,20220301
4,Dr Smith ,3,2022-03-01
5,dr.smith,6,2022-03-01
6,dr.smith,1,2022-03-01
7,Dr.Jones,6,20220301
8,dr.jones,2,01/03/2022
9,Dr Smith ,1,2022-03-01
10,Dr Smith ,1,01/03/2022
11,DR.SMITH,3,01/03/2022
12,dr.smith,1,2022-03-01
13,Dr Smith ,3,01/03/2022
14,DR.SMITH,6,01/03/2022
15,dr.jones,6,01/03/2022
16,Dr.Jones,2,2022-03-01
17,DR.SMITH,6,2022-03-01
18,dr.smith,1,20220301
19,Dr Smith ,5,2022-03-01
20,Dr Smith ,4,20220301
21,Dr.Jones,3,2022-03-01
22,Dr.Jones,5,20220301
23,dr.jones,4,20220301
24,dr.jones,3,01/03/2022
25,Dr.Jones,3,20220301
